RA    DEC      velocity   
       248.57236       32.451680      440.145
       201.97074       43.815678      750.213
       205.86244       43.188501      2558.84
       213.37406       40.579599      926.568
       215.22797       39.914350      1850.56
       218.35008       40.169041      3217.16
       218.82056       40.875938      3295.49
       221.48238       38.631281      2732.17
       220.10848       38.695266      3489.67
       219.78837       38.263634      3607.99
       154.06491       41.166320      814.171
       154.56815       41.454677      853.629
       156.46164       43.932823      963.664
       157.13843       42.668239      847.359
       159.80414       41.504863      981.126
       166.43700       44.832102      1085.35
       167.35259       44.489802      264.040
       168.37102       44.074903      995.597
       172.77810       44.184247      3058.77
       179.73650       44.192055      991.928
       178.77418       44.103563      936.765
       177.57851       45.486566      3221.65
       180.68223       45.191035      1013.06
       185.06773       45.909037      1037.85
       189.92051       45.435019      3679.54
       199.15546       43.219420      3161.64
       199.34402       43.031945      3206.89
       206.71928       41.303754      2499.66
       207.97472       41.299997      2616.82
       208.72931       39.977342      2200.70
       209.73171       40.095343      3339.02
       216.44987       37.326729      2242.41
       219.50209       36.023152      3793.17
       219.74102       37.580487      3983.59
       220.67996       37.489837      3847.66
       228.26429       32.918282      1978.77
       215.05077       43.019071      931.566
       222.63660       42.182027      2425.65
       224.86906       39.179289      3962.59
       236.77967       34.426699      2136.42
       239.33979       33.608061      3925.50
       236.44124       36.028092      3304.40
       236.21753       36.479202      3245.66
       239.05603       34.252320      2457.58
       238.51860       34.421906      3852.01
       237.58384       34.943480      3895.20
       240.67279       34.227847      401.425
       244.41021       31.775319      382.032
       157.01135       43.132532      2390.31
       166.43467       44.832700      1101.71
       165.45674       45.148055      3194.79
       170.07087       45.389650      997.858
       173.33518       47.068673      1064.40
       174.09928       47.158113      3067.37
       179.87170       42.349093      1184.32
       179.90384       42.953531      974.467
       184.75570       47.256920      626.029
       183.96463       47.504753      976.191
       182.89591       47.657649      1051.11
       184.38347       47.995443      987.369
       186.12328       48.553231      3968.98
       187.02400       41.871116      3841.73
       186.04683       41.581048      1083.66
       187.76406       46.910880      3562.40
       188.65908       41.276551      922.356
